Sort,Station name,"Three Letter Code
(TLC)",National Location Code (NLC),Region,Local authority: district or unitary,Apr 1997 to Mar 1998,Apr 1998 to Mar 1999,Apr 1999 to Mar 2000,Apr 2000 to Mar 2001,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2020 to Mar 2021,Apr 2021 to Mar 2022,Apr 2022 to Mar 2023 [b],Apr 2023 to Mar 2024,Apr 2024 to Mar 2025
67,Anerley,ANZ,5397,London,Bromley,"190,024","250,797","263,417","242,868","240,520","261,283",[x],"239,360","235,382","389,392","407,730","387,558","380,320","508,902","628,650","688,280","735,932","760,490","887,484","973,012","994,266","1,043,346","1,033,264","325,286","727,730","900,882","944,622","948,840"
68,Angel Road,[z],[z],[z],[z],"11,066","13,137","15,847","14,758","16,787","16,721",[x],"17,074","15,786","16,368","37,330","32,394","26,960","28,646","28,240","63,040","83,714","85,770","27,754","33,544","32,938","35,570","5,882",[z],[z],[z],[z],[z]
69,Angmering,ANG,5267,South East,Arun,"366,334","354,820","438,018","384,505","418,948","444,100",[x],"526,011","553,609","614,236","659,931","678,478","690,682","764,818","819,488","864,926","883,150","882,480","865,380","699,978","801,006","826,622","859,340","290,554","677,210","733,842","719,952","843,312"
70,Annan,ANN,9451,Scotland,Dumfries and Galloway,"36,056","49,566","64,923","75,838","78,959","89,753",[x],"113,275","115,662","94,299","100,409","112,566","111,492","117,166","126,706","127,502","129,676","126,806","119,278","124,398","128,754","139,370","133,270","16,448","81,834","99,398","128,040","127,412"
71,Anniesland,ANL,9972,Scotland,Glasgow City,"485,151","513,448","550,744","538,893","518,146","525,716",[x],"662,422","775,049","808,956","848,987","962,696","998,824","1,047,958","1,103,308","1,145,740","1,066,714","1,133,042","1,154,430","1,218,022","1,195,190","1,136,078","1,144,568","173,104","564,808","735,448","936,024","1,013,182"
72,Ansdell and Fairhaven,AFV,2662,North West,Fylde,"30,217","30,517","34,626","33,323","46,241","29,444",[x],"26,801","30,608","34,237","36,242","36,544","35,424","40,238","41,518","59,344","41,812","36,794","38,794","40,528","32,482","32,240","42,386","9,476","35,218","40,982","45,500","48,776"
73,Apperley Bridge,APY,8562,Yorkshire and The Humber,Bradford,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"96,418","350,312","372,436","375,794","394,558","91,410","263,090","362,988","388,504","455,666"
74,Appleby,APP,2052,North West,Westmorland and Furness,"64,616","59,817","60,669","59,432","50,221","47,604",[x],"62,521","66,449","61,886","61,781","61,904","61,984","70,808","68,884","60,992","62,600","57,078","53,036","61,446","60,254","57,526","60,310","11,232","47,476","52,674","56,512","63,348"
75,Appledore (Kent),APD,5003,South East,Ashford,"19,577","18,030","19,399","15,984","15,678","15,459",[x],"21,126","20,718","25,693","31,457","32,856","31,488","34,182","31,344","36,908","40,116","37,464","39,190","35,886","39,668","42,792","40,656","9,492","24,818","26,478","28,764","29,092"
76,Appleford,APF,3109,South East,Vale of White Horse,"7,197","7,231","8,745","7,363","8,046","7,157",[x],"10,622","11,134","10,429","8,138","10,772","9,086","8,890","7,772","9,368","8,826","7,738","7,752","6,426","6,562","7,504","7,232","1,768","5,336","7,234","7,306","9,074"
